strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff,total_oi,distance,magnet_score
50100,0.0,8.55,0.0,0.0,1.0,91.0,0.0,22.0,0.0,8.55,-90.0,92.0,7000.0,0.013140979860019997
53800,0.0,13.05,0.0,0.0,4.0,37.0,0.0,11.0,0.0,13.05,-33.0,41.0,3300.0,0.012420478642835504
53400,0.0,13.05,0.0,0.0,2.0,43.0,0.0,0.0,0.0,13.05,-41.0,45.0,3700.0,0.012158875979465009
64700,12.2,0.0,0.0,0.0,85.0,0.0,14.0,0.0,12.2,0.0,85.0,85.0,7600.0,0.011182739113274569
64200,13.35,0.0,0.0,0.0,73.0,2.0,12.0,0.0,13.35,0.0,71.0,75.0,7100.0,0.010561892691170258
52400,0.0,10.85,0.0,0.0,1.0,48.0,0.0,1.0,0.0,10.85,-47.0,49.0,4700.0,0.010423314188470539
52300,0.0,10.0,0.0,0.0,1.0,47.0,0.0,-4.0,0.0,10.0,-46.0,48.0,4800.0,0.009997917100604041
64600,12.5,0.0,0.0,0.0,68.0,0.0,8.0,0.0,12.5,0.0,68.0,68.0,7500.0,0.009065457938941474
64400,11.45,0.0,0.0,0.0,66.0,0.0,23.0,0.0,11.45,0.0,66.0,66.0,7300.0,0.009039857553759759
53100,0.0,12.0,0.0,0.0,3.0,28.0,0.0,1.0,0.0,12.0,-25.0,31.0,4000.0,0.007748062984253936
49600,0.0,7.5,0.0,0.0,0.0,57.0,0.0,41.0,0.0,7.5,-57.0,57.0,7500.0,0.007598986801759766
52600,0.0,11.25,0.0,0.0,3.0,31.0,0.0,-1.0,0.0,11.25,-28.0,34.0,4500.0,0.007553876916240835
49900,0.0,8.05,0.0,0.0,1.0,52.0,0.0,-1.0,0.0,8.05,-51.0,53.0,7200.0,0.007360088876544924
52700,0.0,11.35,0.0,0.0,1.0,28.0,0.0,-1.0,0.0,11.35,-27.0,29.0,4400.0,0.006589411497386958
64300,12.75,0.0,0.0,0.0,45.0,1.0,-144.0,0.0,12.75,0.0,44.0,46.0,7200.0,0.006388001666435218
52800,0.0,11.55,0.0,0.0,2.0,24.0,0.0,1.0,0.0,11.55,-22.0,26.0,4300.0,0.006045105789351314
52100,0.0,11.0,0.0,0.0,1.0,29.0,0.0,3.0,0.0,11.0,-28.0,30.0,5000.0,0.00599880023995201
64800,9.9,0.0,0.0,0.0,39.0,0.0,11.0,0.0,9.9,0.0,39.0,39.0,7700.0,0.00506427736657577
51200,0.0,9.25,0.0,0.0,1.0,27.0,0.0,-5.0,0.0,9.25,-26.0,28.0,5900.0,0.004744958481613286
51300,0.0,8.7,0.0,0.0,1.0,22.0,0.0,0.0,0.0,8.7,-21.0,23.0,5800.0,0.0039648336493707985
51900,0.0,10.2,0.0,0.0,4.0,15.0,0.0,0.0,0.0,10.2,-11.0,19.0,5200.0,0.003653143626225726
51700,0.0,10.1,0.0,0.0,1.0,18.0,0.0,-1.0,0.0,10.1,-17.0,19.0,5400.0,0.003517867061655249
52200,0.0,11.0,0.0,0.0,1.0,16.0,0.0,-5.0,0.0,11.0,-15.0,17.0,4900.0,0.0034686798612528057
51600,0.0,9.9,0.0,0.0,1.0,18.0,0.0,-1.0,0.0,9.9,-17.0,19.0,5500.0,0.003453917469550991
50700,0.0,8.6,0.0,0.0,1.0,21.0,0.0,-3.0,0.0,8.6,-20.0,22.0,6400.0,0.003436962974535229
49800,0.0,7.55,0.0,0.0,1.0,24.0,0.0,-2.0,0.0,7.55,-23.0,25.0,7300.0,0.003424188467333242
50200,0.0,8.0,0.0,0.0,1.0,22.0,0.0,7.0,0.0,8.0,-21.0,23.0,6900.0,0.003332850311549051
50900,0.0,9.05,0.0,0.0,1.0,19.0,0.0,1.0,0.0,9.05,-18.0,20.0,6200.0,0.0032252862441541686
49700,0.0,7.75,0.0,0.0,1.0,21.0,0.0,0.0,0.0,7.75,-20.0,22.0,7400.0,0.0029725712741521418
50300,0.0,8.4,0.0,0.0,1.0,19.0,0.0,4.0,0.0,8.4,-18.0,20.0,6800.0,0.002940744008234083
51100,0.0,9.3,0.0,0.0,1.0,16.0,0.0,-7.0,0.0,9.3,-15.0,17.0,6000.0,0.0028328611898017
50400,0.0,7.45,0.0,0.0,1.0,16.0,0.0,1.0,0.0,7.45,-15.0,17.0,6700.0,0.002536934785852858
50800,0.0,8.95,0.0,0.0,1.0,13.0,0.0,0.0,0.0,8.95,-12.0,14.0,6300.0,0.0022218695445167433
50600,0.0,8.3,0.0,0.0,1.0,10.0,0.0,0.0,0.0,8.3,-9.0,11.0,6500.0,0.001692047377326565
43500,,5.4,,0.0,,557.2857142857143,,64.0,,5.4,,,13600.0,
